id,userFid,orgFid,isCharge,createdOn
3,900000144,3,1,2017-11-29 14:09:53
4,900000147,4,1,2017-11-29 14:09:53
5,900000149,5,1,2017-11-29 14:09:53
8,900000324,1,1,2017-11-29 14:09:53
9,900000219,5,0,2017-11-29 14:09:53
10,900000342,5,0,2017-11-29 14:09:53
11,120659,6,1,2017-11-29 14:09:53
12,900000108,6,0,2017-11-29 14:09:53
13,900000112,6,0,2017-11-29 14:09:53
14,900000155,6,1,2017-11-29 14:09:53
15,900000263,6,1,2017-11-29 14:09:53
16,900000303,6,0,2017-11-29 14:09:53
17,900000304,6,0,2017-11-29 14:09:53
18,900000305,6,1,2017-11-29 14:09:53
19,900000306,6,1,2017-11-29 14:09:53
20,900000307,6,1,2017-11-29 14:09:53
21,900000308,6,0,2017-11-29 14:09:53
22,900000309,6,1,2017-11-29 14:09:53
23,900000322,6,0,2017-11-29 14:09:53
24,900000389,6,0,2017-11-29 14:09:53
25,114520,7,1,2017-11-29 14:09:53
26,900000148,7,1,2017-11-29 14:09:53
27,900000181,7,1,2017-11-29 14:09:53
28,900000182,7,1,2017-11-29 14:09:53
29,900000198,7,1,2017-11-29 14:09:53
30,900000217,7,1,2017-11-29 14:09:53
32,900000249,7,1,2017-11-29 14:09:53
33,900000268,7,1,2017-11-29 14:09:53
34,900000273,7,1,2017-11-29 14:09:53
35,900000299,7,1,2017-11-29 14:09:53
36,900000300,7,1,2017-11-29 14:09:53
37,900000301,7,1,2017-11-29 14:09:53
38,900000302,7,1,2017-11-29 14:09:53
39,900000392,7,1,2017-11-29 14:09:53
41,900000403,9,1,2017-11-29 14:09:53
42,900000233,10,1,2017-11-29 14:09:53
43,101681,13,1,2017-11-29 14:09:53
44,900000081,13,0,2017-11-29 14:09:53
45,900000252,13,0,2017-11-29 14:09:53
46,900000287,13,0,2017-11-29 14:09:53
47,900000402,13,1,2017-11-29 14:09:53
48,900000424,13,0,2017-11-29 14:09:53
49,900000348,14,1,2017-11-29 14:09:53
50,900000236,15,1,2017-11-29 14:09:53
51,900000261,16,1,2017-11-29 14:09:53
52,118736,17,1,2017-11-29 14:09:53
53,900000411,17,1,2017-11-29 14:09:53
54,109914,19,1,2017-11-29 14:09:53
55,900000259,20,1,2017-11-29 14:09:53
56,121318,21,1,2017-11-29 14:09:53
57,900000232,22,1,2017-11-29 14:09:53
58,900000213,22,0,2017-11-29 14:09:53
59,117198,23,1,2017-11-29 14:09:53
60,900000385,23,1,2017-11-29 14:09:53
61,900000232,24,1,2017-11-29 14:09:53
62,900000358,24,1,2017-11-29 14:09:53
63,101611,34,0,2017-11-29 14:09:53
64,121338,34,0,2017-11-29 14:09:53
65,121340,34,0,2017-11-29 14:09:53
66,900000260,34,1,2017-11-29 14:09:53
67,900000066,34,0,2017-11-29 14:09:53
69,900000096,34,0,2017-11-29 14:09:53
70,900000097,34,0,2017-11-29 14:09:53
71,900000197,34,0,2017-11-29 14:09:53
72,900000382,34,0,2017-11-29 14:09:53
73,900000410,34,0,2017-11-29 14:09:53
74,900000414,34,0,2017-11-29 14:09:53
76,900000357,35,1,2017-11-29 14:09:53
77,900000390,35,1,2017-11-29 14:09:53
78,102202,38,0,2017-11-29 14:09:53
79,107946,38,0,2017-11-29 14:09:53
81,116081,38,0,2017-11-29 14:09:53
82,116646,38,0,2017-11-29 14:09:53
83,119308,38,0,2017-11-29 14:09:53
84,900000047,38,0,2017-11-29 14:09:53
85,900000239,38,0,2017-11-29 14:09:53
86,900000351,38,0,2017-11-29 14:09:53
87,900000370,38,0,2017-11-29 14:09:53
88,900000383,38,0,2017-11-29 14:09:53
89,108633,39,0,2017-11-29 14:09:53
90,900000349,39,0,2017-11-29 14:09:53
91,900000352,39,0,2017-11-29 14:09:53
92,900000354,39,0,2017-11-29 14:09:53
93,900000113,40,0,2017-11-29 14:09:53
94,117555,41,1,2017-11-29 14:09:53
95,900000262,41,0,2017-11-29 14:09:53
96,900000310,41,0,2017-11-29 14:09:53
97,900000412,42,0,2017-11-29 14:09:53
98,900000415,42,0,2017-11-29 14:09:53
99,900000416,42,0,2017-11-29 14:09:53
100,900000274,43,0,2017-11-29 14:09:53
101,900000413,43,0,2017-11-29 14:09:53
102,111330,44,0,2017-11-29 14:09:53
103,121399,44,0,2017-11-29 14:09:53
104,900000001,44,0,2017-11-29 14:09:53
105,900000032,44,0,2017-11-29 14:09:53
106,900000107,44,0,2017-11-29 14:09:53
107,900000109,44,0,2017-11-29 14:09:53
108,900000111,44,0,2017-11-29 14:09:53
109,900000260,45,0,2017-11-29 14:09:53
110,900000344,45,0,2017-11-29 14:09:53
111,120661,46,0,2017-11-29 14:09:53
112,900000090,46,0,2017-11-29 14:09:53
113,900000091,46,0,2017-11-29 14:09:53
114,900000110,46,0,2017-11-29 14:09:53
115,900000265,46,0,2017-11-29 14:09:53
116,900000275,46,0,2017-11-29 14:09:53
117,107157,47,0,2017-11-29 14:09:53
118,109302,47,0,2017-11-29 14:09:53
119,111334,47,0,2017-11-29 14:09:53
120,900000201,47,0,2017-11-29 14:09:53
121,115877,47,0,2017-11-29 14:09:53
122,117466,47,0,2017-11-29 14:09:53
123,121449,47,0,2017-11-29 14:09:53
124,900000040,47,0,2017-11-29 14:09:53
125,900000058,47,0,2017-11-29 14:09:53
126,900000059,47,0,2017-11-29 14:09:53
127,900000173,47,0,2017-11-29 14:09:53
128,900000193,47,0,2017-11-29 14:09:53
129,900000242,47,0,2017-11-29 14:09:53
130,900000269,47,0,2017-11-29 14:09:53
131,900000347,47,0,2017-11-29 14:09:53
132,118233,48,0,2017-11-29 14:09:53
133,121446,48,0,2017-11-29 14:09:53
134,900000025,48,0,2017-11-29 14:09:53
135,900000026,48,0,2017-11-29 14:09:53
136,900000038,48,0,2017-11-29 14:09:53
137,900000364,48,1,2017-11-29 14:09:53
138,900000365,48,1,2017-11-29 14:09:53
139,900000366,48,1,2017-11-29 14:09:53
140,900000367,48,1,2017-11-29 14:09:53
141,900000375,48,0,2017-11-29 14:09:53
142,900000098,49,0,2017-11-29 14:09:53
143,900000200,49,0,2017-11-29 14:09:53
144,900000253,49,0,2017-11-29 14:09:53
